Product Name,2021-10-17,2021-10-18,2021-10-19,2021-10-20,2021-10-21,2021-10-22,2021-10-23,2021-10-24,2021-10-25,2021-10-26,2021-10-27,2021-10-28,2021-10-29,2021-10-30,2021-10-31,2021-11-01,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-12-30,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-12-09,2021-12-10,2021-12-11,2021-12-13,2021-12-14,2021-12-15,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22
Colgate Herbal Toothpaste 100ml,,,,,,,,,,,,,,,,,,,,,,,,,,,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,14.61,20.99,20.99,20.99,20.99,20.99,20.99,20.99
Colgate Max White Toothpaste 75ml,,,,,,,,,,,,,,,,,,,,,,,,,,,41.99,41.99,41.99,41.99,41.99,41.99,41.99,41.99,41.99,41.99,41.99,41.99,41.99,41.99,41.99,41.99,41.99,41.99,41.99,41.99,41.99,41.99,41.99,41.99,41.99,41.99,41.99,41.99,41.99,41.99,41.99
"Colgate Herbal White, Whitening Toothpaste 100ml",,,,,,,,,,,,,,,,,,,,,,,,,,,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,14.61,20.99,20.99,20.99,20.99,,20.99,nan
Colgate Active Salt Antigerm Toothpaste 75ml,,,,,,,,,,,,,,,,,,,,,,,,,,,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,,,11.12,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99
Twinsaver Facial Tissue White 180s,,,,,,,,,,,,,,,,,,,,,,,,,,,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99
Twinsaver Facial Tissue Summer 120ea,,,,,,,,,,,,,,,,,,,,,,,,,,,31.99,31.99,31.99,31.99,31.99,32.99,32.99,32.99,32.99,32.99,32.99,32.99,32.99,32.99,32.99,32.99,32.99,32.99,32.99,32.99,32.99,,,32.99,32.99,32.99,,,,,nan
Duracell Alkaline Batteries Plus Power 9V,,,,,,,,,,,,,,,,,,,,,,,,,,,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99
Ouma Plain Rusk Sliced 450g,,,,,,,,,,,,,,,,,,,,,,,,,,,47.99,47.99,47.99,47.99,47.99,47.99,47.99,47.99,47.99,47.99,47.99,47.99,47.99,47.99,47.99,47.99,47.99,47.99,47.99,47.99,47.99,47.99,47.99,47.99,47.99,47.99,47.99,47.99,47.99,47.99,47.99
Domestos Multipurpose Thick Bleach Lavender Blast 750ml,,,,,,,,,,,,,,,,,,,,,,,,,,,21.99,33.99,33.99,33.99,33.99,33.99,33.99,33.99,33.99,33.99,33.99,33.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,24.25,33.99,33.99,24.25,24.25,34.99,34.99,34.99,34.99,34.99,34.99,34.99
Nestle Nido 3+ Pre-School Milk Honey 900g,,,,,,,,,,,,,,,,,,,,,,,,,,,164.99,164.99,164.99,164.99,164.99,164.99,164.99,164.99,164.99,164.99,164.99,164.99,164.99,164.99,164.99,164.99,164.99,164.99,164.99,164.99,164.99,,,,,164.99,164.99,164.99,164.99,164.99,164.99
Fry's Traditional-Style Vegetarian Burger 320g,,,,,,,,,,,,,,,,,,,,,,,,,,,42.99,54.99,54.99,54.99,54.99,54.99,54.99,54.99,54.99,54.99,54.99,54.99,54.99,54.99,54.99,54.99,54.99,54.99,54.99,54.99,54.99,54.99,54.99,33.67,54.99,54.99,54.99,54.99,54.99,54.99,54.99
Pineware Steam & Spray Iron Psi60,,,,,,,,,,,,,,,,,,,,,,,,,,,152.91,152.91,152.91,152.91,152.91,152.91,152.91,152.91,152.91,152.91,152.91,152.91,152.91,152.91,152.91,152.91,152.91,152.91,152.91,152.91,152.91,152.91,152.91,152.91,152.91,152.91,152.91,152.91,152.91,152.91,152.91
Mellerware Kettle Corded 1.7l Plastic Black,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,119.97
Top One Corned Meat 300g,,,,,,,,,,,,,,,,,,,,,,,,,,,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99
Deep Heat Ointment Rub 75g,,,,,,,,,,,,,,,,,,,,,,,,,,,79.45,79.45,79.45,79.45,79.45,79.45,79.45,79.45,79.45,79.45,79.45,79.45,79.45,79.45,79.45,79.45,79.45,79.45,79.45,79.45,79.45,79.45,79.45,79.45,79.45,79.45,79.45,79.45,79.45,79.45,79.45
Impala Special Maize Meal 2.5kg,,,,,,,,,,,,,,,,,,,,,,,,,,,23.99,23.99,23.99,23.99,23.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,,,,24.99,24.99,24.99,24.99,24.99,24.99,24.99
Iwisa Maize Meal Super 2.5kg,,,,,,,,,,,,,,,,,,,,,,,,,,,26.99,26.99,26.99,26.99,26.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99
