Product Name,2021-10-30,2021-10-31,2021-11-06,2021-11-07,2021-11-08,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-27,2021-11-28,2021-11-29,2021-12-30,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22
Rhodes Peaches in Syrup Slices (1 x 3.06kg),,,,,,,,,,109.95,109.95,109.95,109.95,109.95,109.95,109.95,109.95,109.95,109.95,109.95,109.95,109.95,109.95,109.95,109.95,109.95,109.95,109.95,109.95,109.95,109.95,109.95,109.95,109.95,109.95
Rhodes Tomato Paste Sachet (30 x 50g),,,,,,,,,,136.85,136.85,136.85,136.85,136.85,136.85,136.85,136.85,136.85,136.85,136.85,136.85,136.85,136.85,136.85,136.85,136.85,136.85,136.85,136.85,136.85,136.85,136.85,136.85,136.85,136.85
Old El Paso Tortillas (1 x 326g),,,,,,,,,,80.45,80.45,80.45,80.45,80.45,80.45,80.45,80.45,80.45,80.45,80.45,80.45,80.45,80.45,80.45,80.45,80.45,80.45,80.45,80.45,80.45,80.45,80.45,80.45,80.45,80.45
Miami Boerie Relish (All Variants) (1 x 450g),,,,,,,,,,15.25,15.25,15.25,15.25,15.25,15.25,15.25,15.25,15.25,15.25,15.25,15.25,15.25,15.25,15.25,15.25,15.25,15.25,15.25,15.25,15.25,15.25,15.25,15.25,15.25,15.25
Bull Brand Corned Meat (All variants) (1 x 300g),,,,,,,,,,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95
Lucky Star Shredded Tuna in Water (1 x 170 g),,,,,,,,,,17.95,17.95,17.95,17.95,17.95,17.95,17.95,17.95,17.95,17.95,17.95,17.95,17.95,17.95,17.95,17.95,17.95,17.95,17.95,17.95,17.95,17.95,17.95,17.95,17.95,17.95
Lucky Star Shredded Tuna in Vegetable Oil (1 x 170 g),,,,,,,,,,17.95,17.95,17.95,17.95,17.95,17.95,17.95,17.95,17.95,17.95,17.95,17.95,17.95,17.95,17.95,17.95,17.95,17.95,17.95,17.95,17.95,17.95,17.95,17.95,17.95,17.95
Sea Pride Pilchards in Chilli Sauce (1 x 400g),,,,,,,,,,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95
Miami Cucumbers Sweet & Tangy Cucumbers (1 x 2.9kg),,,,,,,,,,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95
Miami Whole Peeled Tomato (1 x 3kg),,,,,,,,,,104.95,104.95,104.95,104.95,104.95,104.95,104.95,104.95,104.95,104.95,104.95,104.95,104.95,104.95,104.95,104.95,104.95,104.95,104.95,104.95,104.95,104.95,104.95,104.95,104.95,104.95
Tuna Marine Olives Calamata (1 x 3.05kg),,,,,,,,,,237.95,237.95,237.95,237.95,237.95,237.95,237.95,237.95,237.95,237.95,237.95,237.95,237.95,237.95,237.95,237.95,237.95,237.95,237.95,237.95,237.95,237.95,237.95,237.95,237.95,237.95
Smash Instant Mash Potato Garlic & Butter (1 x 104g),,,,,,,,,,19.45,19.45,19.45,19.45,19.45,19.45,19.45,19.45,19.45,19.45,19.45,19.45,19.45,19.45,19.45,19.45,19.45,19.45,19.45,19.45,19.45,19.45,19.45,19.45,19.45,19.45
KOO Vegetable Curry (12 x 420g),,,,,,,,,,198.95,198.95,198.95,198.95,198.95,198.95,198.95,198.95,198.95,198.95,198.95,198.95,198.95,198.95,198.95,198.95,198.95,198.95,198.95,198.95,198.95,198.95,198.95,198.95,198.95,198.95
Helderberg Peas (1 x 410g),,,,,,,,,,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25
Lucky Star Pilchards in Tomato Sauce (24 x 215g),,,,,,,,,,325.75,325.75,325.75,325.75,325.75,325.75,325.75,325.75,325.75,325.75,325.75,325.75,325.75,325.75,325.75,325.75,325.75,325.75,325.75,325.75,325.75,325.75,325.75,325.75,325.75,325.75
First Value Mixed Vegetable (12 x 410g),,,,,,,,,,111.95,111.95,111.95,111.95,111.95,111.95,111.95,111.95,111.95,111.95,111.95,111.95,111.95,111.95,111.95,111.95,111.95,111.95,111.95,111.95,111.95,111.95,111.95,111.95,111.95,111.95
Buffet Olives Calamata (1 x 3.05kg),,,,,,,,,,169.95,169.95,169.95,169.95,169.95,169.95,169.95,169.95,169.95,169.95,169.95,169.95,169.95,169.95,169.95,169.95,169.95,169.95,169.95,169.95,169.95,169.95,169.95,169.95,169.95,169.95
First Value Chakalaka Hot (12 x 410g),,,,,,,,,,120.45,120.45,120.45,120.45,120.45,120.45,120.45,120.45,120.45,120.45,120.45,120.45,120.45,120.45,120.45,120.45,120.45,120.45,120.45,120.45,120.45,120.45,120.45,120.45,120.45,120.45
First Value Tomatoes Whole Peeled (1 x 410g),,,,,,,,,,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95
Lucky Star Texan Corned Meat Hot Chilli (6 x 300g),,,,,,,,,,109.95,109.95,109.95,109.95,109.95,109.95,109.95,109.95,109.95,109.95,109.95,109.95,109.95,109.95,109.95,109.95,109.95,109.95,109.95,109.95,109.95,109.95,109.95,109.95,109.95,109.95
Top One Corned Meat Regular (1 x 300g),,,,,,,,,,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95
Stavros Olives Calamata (1 x 3.05kg),,,,,,,,,,184.95,184.95,184.95,184.95,184.95,184.95,184.95,184.95,184.95,184.95,184.95,184.95,184.95,184.95,184.95,184.95,184.95,184.95,184.95,184.95,184.95,184.95,184.95,184.95,184.95,184.95
Jutland Sardines (1 x 106g),,,,,,,,,,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2
Old El Paso Mild Cheesy Enchilada (1 x 663g),,,,,,,,,,108.45,108.45,108.45,108.45,108.45,108.45,108.45,108.45,108.45,108.45,108.45,108.45,108.45,108.45,108.45,108.45,108.45,108.45,108.45,108.45,108.45,108.45,108.45,108.45,108.45,108.45
Rhodes Cream Style Sweetcorn (1 x 410g),,,,,,,,,,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85
Lucky Star Sardines Vegetable in Oil (1 x 120 g),,,,,,,,,,15.95,15.95,15.95,15.95,15.95,15.95,15.95,15.95,15.95,15.95,15.95,15.95,15.95,15.95,15.95,15.95,15.95,15.95,15.95,15.95,15.95,15.95,15.95,15.95,15.95,15.95
Ina Paarman Ready To Serve Sauce Roast Chicken Gravy (1 X 200ml),,,,,,,,,,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95
